cohort_month,total_players,total_ggr_90d,avg_ltv_90d,median_ltv_90d
2023-01-01,253,6021.25,23.8,6.97
2023-02-01,210,4679.58,22.28,7.52
2023-03-01,252,6635.07,26.33,6.41
2023-04-01,249,7761.19,31.17,7.56
2023-05-01,229,5335.65,23.3,8.2
2023-06-01,258,8369.34,32.44,9.42
2023-07-01,258,10403.88,40.33,7.7
2023-08-01,246,6096.54,24.78,7.57
2023-09-01,211,5378.01,25.49,7.26
2023-10-01,259,9531.61,36.8,7.95
2023-11-01,231,7464.89,32.32,7.74
2023-12-01,242,6439.56,26.61,7.68
2024-01-01,228,7593.83,33.31,7.47
2024-02-01,221,6769.94,30.63,7.01
2024-03-01,247,8044.69,32.57,8.13
2024-04-01,235,7140.36,30.38,8.34
2024-05-01,229,6034.89,26.35,5.38
2024-06-01,224,7778.64,34.73,9.22
2024-07-01,231,4943.07,21.4,6.94
2024-08-01,225,5132.4,22.81,7.11
2024-09-01,251,6842.5,27.26,6.37
2024-10-01,11,238.8,21.71,4.05
