cohort_month,total_players,d1_retention_pct,d7_retention_pct,d30_retention_pct
2023-01-01,253,50.59,41.9,11.86
2023-02-01,210,59.05,34.29,14.76
2023-03-01,252,57.54,38.89,19.84
2023-04-01,249,61.45,38.96,14.46
2023-05-01,229,51.97,38.43,14.41
2023-06-01,258,58.91,44.19,20.16
2023-07-01,258,63.57,37.6,15.12
2023-08-01,246,59.35,42.28,16.67
2023-09-01,211,58.29,39.81,13.27
2023-10-01,259,55.98,39.77,16.6
2023-11-01,231,59.74,38.1,15.58
2023-12-01,242,57.02,40.91,16.12
2024-01-01,228,52.63,39.47,17.54
2024-02-01,221,54.3,34.84,18.1
2024-03-01,247,57.09,40.08,19.03
2024-04-01,235,61.28,39.15,20.85
2024-05-01,229,54.15,39.74,13.54
2024-06-01,224,55.8,41.96,15.63
2024-07-01,231,54.11,38.1,12.99
2024-08-01,225,57.33,39.11,13.78
2024-09-01,251,56.97,39.44,14.34
2024-10-01,11,72.73,18.18,27.27
