player_id,r_score,f_score,m_score,rfm_total,rfm_segment,actual_segment
2,5,5,5,15,Champions,Champions
4,5,5,5,15,Champions,Champions
11,5,5,5,15,Champions,Champions
14,5,5,5,15,Champions,Champions
20,5,5,5,15,Champions,Champions
21,5,5,5,15,Champions,Champions
48,5,5,5,15,Champions,Champions
49,5,5,5,15,Champions,Champions
61,5,5,5,15,Champions,Champions
67,5,5,5,15,Champions,Champions
69,5,5,5,15,Champions,Champions
71,5,5,5,15,Champions,Champions
72,5,5,5,15,Champions,Champions
85,5,5,5,15,Champions,Champions
86,5,5,5,15,Champions,Champions
91,5,5,5,15,Champions,Champions
93,5,5,5,15,Champions,Champions
103,5,5,5,15,Champions,Champions
109,5,5,5,15,Champions,Champions
112,5,5,5,15,Champions,Champions
120,5,5,5,15,Champions,Champions
124,5,5,5,15,Champions,Champions
131,5,5,5,15,Champions,Champions
134,5,5,5,15,Champions,Champions
145,5,5,5,15,Champions,Champions
147,5,5,5,15,Champions,Champions
148,5,5,5,15,Champions,Champions
149,5,5,5,15,Champions,Champions
153,5,5,5,15,Champions,Champions
156,5,5,5,15,Champions,Champions
157,5,5,5,15,Champions,Champions
160,5,5,5,15,Champions,Champions
166,5,5,5,15,Champions,Champions
167,5,5,5,15,Champions,Champions
174,5,5,5,15,Champions,Champions
175,5,5,5,15,Champions,Champions
177,5,5,5,15,Champions,Champions
178,5,5,5,15,Champions,Champions
182,5,5,5,15,Champions,Champions
183,5,5,5,15,Champions,Champions
184,5,5,5,15,Champions,Champions
188,5,5,5,15,Champions,Champions
189,5,5,5,15,Champions,Champions
194,5,5,5,15,Champions,Champions
201,5,5,5,15,Champions,Champions
206,5,5,5,15,Champions,Champions
207,5,5,5,15,Champions,Champions
209,5,5,5,15,Champions,Champions
211,5,5,5,15,Champions,Champions
214,5,5,5,15,Champions,Champions
216,5,5,5,15,Champions,Champions
217,5,5,5,15,Champions,Champions
225,5,5,5,15,Champions,Champions
226,5,5,5,15,Champions,Champions
230,5,5,5,15,Champions,Champions
231,5,5,5,15,Champions,Champions
234,5,5,5,15,Champions,Champions
239,5,5,5,15,Champions,Champions
241,5,5,5,15,Champions,Champions
248,5,5,5,15,Champions,Champions
251,5,5,5,15,Champions,Loyal
252,5,5,5,15,Champions,Loyal
254,5,5,5,15,Champions,Loyal
262,5,5,5,15,Champions,Loyal
267,5,5,5,15,Champions,Loyal
270,5,5,5,15,Champions,Loyal
277,5,5,5,15,Champions,Loyal
280,5,5,5,15,Champions,Loyal
281,5,5,5,15,Champions,Loyal
282,5,5,5,15,Champions,Loyal
294,5,5,5,15,Champions,Loyal
301,5,5,5,15,Champions,Loyal
303,5,5,5,15,Champions,Loyal
307,5,5,5,15,Champions,Loyal
312,5,5,5,15,Champions,Loyal
319,5,5,5,15,Champions,Loyal
320,5,5,5,15,Champions,Loyal
326,5,5,5,15,Champions,Loyal
333,5,5,5,15,Champions,Loyal
334,5,5,5,15,Champions,Loyal
348,5,5,5,15,Champions,Loyal
351,5,5,5,15,Champions,Loyal
352,5,5,5,15,Champions,Loyal
357,5,5,5,15,Champions,Loyal
364,5,5,5,15,Champions,Loyal
376,5,5,5,15,Champions,Loyal
377,5,5,5,15,Champions,Loyal
380,5,5,5,15,Champions,Loyal
382,5,5,5,15,Champions,Loyal
386,5,5,5,15,Champions,Loyal
388,5,5,5,15,Champions,Loyal
391,5,5,5,15,Champions,Loyal
401,5,5,5,15,Champions,Loyal
407,5,5,5,15,Champions,Loyal
412,5,5,5,15,Champions,Loyal
415,5,5,5,15,Champions,Loyal
421,5,5,5,15,Champions,Loyal
424,5,5,5,15,Champions,Loyal
427,5,5,5,15,Champions,Loyal
428,5,5,5,15,Champions,Loyal
439,5,5,5,15,Champions,Loyal
445,5,5,5,15,Champions,Loyal
459,5,5,5,15,Champions,Loyal
460,5,5,5,15,Champions,Loyal
468,5,5,5,15,Champions,Loyal
478,5,5,5,15,Champions,Loyal
481,5,5,5,15,Champions,Loyal
488,5,5,5,15,Champions,Loyal
490,5,5,5,15,Champions,Loyal
493,5,5,5,15,Champions,Loyal
494,5,5,5,15,Champions,Loyal
495,5,5,5,15,Champions,Loyal
497,5,5,5,15,Champions,Loyal
498,5,5,5,15,Champions,Loyal
500,5,5,5,15,Champions,Loyal
504,5,5,5,15,Champions,Loyal
511,5,5,5,15,Champions,Loyal
512,5,5,5,15,Champions,Loyal
513,5,5,5,15,Champions,Loyal
519,5,5,5,15,Champions,Loyal
522,5,5,5,15,Champions,Loyal
