provider,total_ggr,total_players,arppu,avg_bet_size,avg_rtp,total_sessions
Just For The Win,6603.48,874,7.56,2.0,96.87,1717
Slingshot Studios,5958.93,868,6.87,1.55,96.24,1532
Kalamba Games,5827.05,745,7.82,1.7,95.55,964
Foxium,5254.24,916,5.74,2.26,97.17,1572
Iron Dog,4195.09,797,5.26,1.33,96.32,1171
Greentube,3912.39,850,4.6,1.82,96.95,1294
Pragmatic Play,3857.82,741,5.21,1.17,95.72,956
Saucify,3740.13,853,4.38,1.45,97.13,1306
4ThePlayer,3732.57,917,4.07,1.5,96.89,1541
Spinomenal,3437.25,836,4.11,1.35,96.48,1281
Konami Gaming,3396.1,810,4.19,1.11,96.1,1041
Ezugi,3344.14,842,3.97,1.37,96.49,1284
Evolution Gaming,3239.87,820,3.95,1.37,96.59,1213
Aristocrat,3230.19,812,3.98,1.37,96.8,1194
Novomatic,3115.45,771,4.04,1.41,96.48,1171
